"Odds.homeWin","Odds.draw","Odds.awayWin","halfTime_score_Home","halfTime_score_Away","fullTime_score_Home","fullTime_score_Away","homeTeam","awayTeam","winner"
1.81,3.49,4.42,0,0,0,0,"Ceará SC","SC Recife","DRAW"
2.16,3.06,3.55,1,1,2,1,"EC Bahia","Fortaleza EC","HOME_TEAM"
3.55,3.19,2.11,0,0,2,0,"Santos FC","SC Internacional","HOME_TEAM"
2.62,2.99,2.85,0,2,0,2,"SC Recife","CR Vasco da Gama","AWAY_TEAM"
4.31,3.55,1.81,0,1,0,1,"Goiás EC","CA Paranaense","AWAY_TEAM"
1.68,3.69,4.88,3,2,4,2,"Grêmio FBPA","Ceará SC","HOME_TEAM"
3.7,3.6,1.93,1,2,1,2,"SC Corinthians Paulista","CA Mineiro","AWAY_TEAM"
3.31,3.08,2.23,1,3,2,3,"Fortaleza EC","São Paulo FC","AWAY_TEAM"
1.46,4.49,6.29,1,1,1,1,"CR Flamengo","AC Goianiense","DRAW"
1.8,3.38,4.53,0,0,2,0,"SE Palmeiras","Fluminense FC","HOME_TEAM"
2.66,2.92,2.8,1,2,1,2,"Coritiba FBC","EC Bahia","AWAY_TEAM"
2.55,3.1,2.83,1,2,1,2,"Botafogo FR","RB Bragantino","AWAY_TEAM"
1.47,4.25,6.11,0,2,0,2,"CA Mineiro","CA Paranaense","AWAY_TEAM"
2.5,2.81,3.13,0,0,0,0,"CR Vasco da Gama","Fortaleza EC","DRAW"
2.18,3.25,3.32,3,0,4,0,"RB Bragantino","EC Bahia","HOME_TEAM"
1.36,4.77,8.13,2,1,3,1,"CR Flamengo","Coritiba FBC","HOME_TEAM"
1.51,4.07,6.26,0,0,1,0,"CA Paranaense","Santos FC","HOME_TEAM"
5.24,3.92,1.61,0,0,1,0,"Goiás EC","SE Palmeiras","HOME_TEAM"
1.37,4.64,8.31,1,1,1,1,"São Paulo FC","CR Vasco da Gama","DRAW"
2.8,3.34,2.42,0,2,2,2,"Ceará SC","CA Mineiro","DRAW"
2.02,3.01,4.21,1,2,1,2,"SC Internacional","Fluminense FC","AWAY_TEAM"
2.37,3.01,3.2,0,2,1,2,"Botafogo FR","Fortaleza EC","AWAY_TEAM"
3.34,2.98,2.32,0,0,0,0,"SC Corinthians Paulista","Grêmio FBPA","DRAW"
3.05,2.94,2.49,0,1,0,1,"SC Recife","AC Goianiense","AWAY_TEAM"
2.79,3.2,2.56,0,1,1,1,"Ceará SC","São Paulo FC","DRAW"
1.57,4.18,5.29,1,1,2,1,"CA Mineiro","Botafogo FR","HOME_TEAM"
2.84,2.9,2.7,0,1,0,1,"Coritiba FBC","SC Corinthians Paulista","AWAY_TEAM"
1.58,3.72,6.06,0,1,1,1,"Fortaleza EC","Goiás EC","DRAW"
1.67,3.61,5.23,2,2,4,2,"Santos FC","SC Recife","HOME_TEAM"
1.64,3.79,5.2,2,0,3,0,"SE Palmeiras","CA Paranaense","HOME_TEAM"
3.45,3.23,2.12,0,3,1,3,"EC Bahia","São Paulo FC","AWAY_TEAM"
2.98,3.1,2.4,0,0,0,0,"AC Goianiense","SC Internacional","DRAW"
2.57,2.94,2.89,0,4,1,4,"CR Vasco da Gama","Ceará SC","AWAY_TEAM"
1.38,4.63,7.64,1,1,2,1,"Grêmio FBPA","Goiás EC","HOME_TEAM"
2.21,3.16,3.3,0,0,0,0,"Fluminense FC","RB Bragantino","DRAW"
2.26,3.08,3.33,0,0,0,0,"Fortaleza EC","SC Corinthians Paulista","DRAW"
5.63,3.86,1.58,0,3,0,3,"Goiás EC","São Paulo FC","AWAY_TEAM"
3.35,3.29,2.13,1,2,2,2,"Santos FC","SE Palmeiras","DRAW"
